Date,Price,Open,High,Low,Change %
"Jul 25, 2019",86.024,86.111,86.354,85.860,-0.08%
"Jul 24, 2019",86.095,85.870,86.423,85.743,0.30%
"Jul 23, 2019",85.836,85.977,86.054,85.594,-0.16%
"Jul 22, 2019",85.971,86.133,86.376,85.845,-0.11%
"Jul 19, 2019",86.063,86.385,86.461,85.867,-0.38%
"Jul 18, 2019",86.393,85.592,86.479,85.473,0.97%
"Jul 17, 2019",85.562,85.174,85.765,85.088,0.50%
"Jul 16, 2019",85.134,85.798,85.885,85.112,-0.74%
"Jul 15, 2019",85.771,86.204,86.256,85.705,-0.48%
"Jul 12, 2019",86.188,85.635,86.263,85.629,0.65%
"Jul 11, 2019",85.630,85.517,86.055,85.474,0.16%
"Jul 10, 2019",85.492,85.487,85.839,85.261,0.05%
"Jul 09, 2019",85.448,85.801,86.138,85.267,-0.36%
"Jul 08, 2019",85.761,85.679,86.203,85.625,0.07%
"Jul 05, 2019",85.701,86.214,86.563,85.466,-0.52%
"Jul 04, 2019",86.149,86.503,86.714,86.107,-0.38%
"Jul 03, 2019",86.476,86.746,86.822,86.400,-0.29%
"Jul 02, 2019",86.727,87.077,87.305,86.723,-0.37%
"Jul 01, 2019",87.051,87.533,87.628,86.995,-0.52%
"Jun 28, 2019",87.506,87.586,87.807,87.249,-0.04%
"Jun 27, 2019",87.544,87.872,87.984,87.387,-0.35%
"Jun 26, 2019",87.852,88.047,88.215,87.575,-0.11%
"Jun 25, 2019",87.952,88.226,88.692,87.829,-0.32%
"Jun 24, 2019",88.235,88.564,88.812,88.184,-0.51%
"Jun 21, 2019",88.683,88.298,88.756,87.935,0.47%
"Jun 20, 2019",88.264,88.048,88.571,87.920,0.28%
"Jun 19, 2019",88.018,87.416,88.279,87.295,0.72%
"Jun 18, 2019",87.390,87.549,87.644,87.082,-0.16%
"Jun 17, 2019",87.530,87.987,88.150,87.533,-0.42%
"Jun 14, 2019",87.895,88.137,88.350,87.846,-0.21%
